chinese,english,source,refs_list
闭门羹,rejection or denial,JSON,['rejection or denial']
闭门造车,to work in isolation without seeking outside input; to create something without proper knowledge or understanding of the subject,JSON,"['to work in isolation without seeking outside input', 'to create something without proper knowledge or understanding of the subject']"
闭门思过,reflecting on one's mistakes in solitude,JSON,"[""reflecting on one's mistakes in solitude""]"
闭目塞听,to close one's eyes and ears; to ignore or refuse to listen or see,JSON,"[""to close one's eyes and ears"", 'to ignore or refuse to listen or see']"
闭关自守,closing oneself off from the outside world; isolating oneself; refusing to engage with or participate in external matters,JSON,"['closing oneself off from the outside world', 'isolating oneself', 'refusing to engage with or participate in external matters']"
闭关锁国,"to isolate oneself from the outside world, to adopt a policy of seclusion",JSON,"['to isolate oneself from the outside world, to adopt a policy of seclusion']"
闭塞眼睛捉麻雀,"""Closing one's eyes while trying to catch a sparrow."" (This idiom means attempting to achieve something small and insignificant while neglecting or ignoring bigger and more important matters.)",JSON,"[""closing one's eyes while trying to catch a sparrow.""]"
开门见山,get straight to the point,JSON,['get straight to the point']
开门揖盗,inviting a thief into one's home,JSON,"[""inviting a thief into one's home""]"
开台锣鼓,to start a new venture or project with fanfare and celebration,JSON,['to start a new venture or project with fanfare and celebration']
开天辟地,to create or invent something completely new,JSON,['to create or invent something completely new']
开花结果,"to bear fruit, to achieve success",JSON,"['to bear fruit, to achieve success']"
开卷有益,reading is always beneficial; opening a book is always helpful,JSON,"['reading is always beneficial', 'opening a book is always helpful']"
开诚布公,to be sincere and open in one's words and actions,JSON,"[""to be sincere and open in one's words and actions""]"
开山祖师,founder or originator of a certain field or discipline,JSON,['founder or originator of a certain field or discipline']
开宗明义,state one's purpose clearly,JSON,"[""state one's purpose clearly""]"
开源节流,seeking ways to increase income while reducing expenses,JSON,['seeking ways to increase income while reducing expenses']
闲情逸致,leisurely and carefree; enjoying a relaxed and comfortable state of mind,JSON,"['leisurely and carefree', 'enjoying a relaxed and comfortable state of mind']"
关怀备至,showing great care and concern for someone,JSON,['showing great care and concern for someone']
防不胜防,unable to guard against; being caught off guard; being unprepared for unexpected situations,JSON,"['unable to guard against', 'being caught off guard', 'being unprepared for unexpected situations']"
防患未然,prevent potential dangers in advance; take precautions before a problem occurs,JSON,"['prevent potential dangers in advance', 'take precautions before a problem occurs']"
防意如城,to be extremely cautious and vigilant,JSON,['to be extremely cautious and vigilant']
防微杜渐,Take precautions and prevent problems before they become serious,JSON,['take precautions and prevent problems before they become serious']
阿谀逢迎,excessively flattering and fawning over someone,JSON,['excessively flattering and fawning over someone']
降龙伏虎,defeat powerful adversaries,JSON,['defeat powerful adversaries']
降格以求,Lowering one's standard in order to obtain something,JSON,"[""lowering one's standard in order to obtain something""]"
除暴安良,eliminating evil and promoting good,JSON,['eliminating evil and promoting good']
除旧布新,getting rid of the old and introducing the new; replacing old things with new ones,JSON,"['getting rid of the old and introducing the new', 'replacing old things with new ones']"
除恶务尽,to eliminate evil and fulfill one's obligations,JSON,"[""to eliminate evil and fulfill one's obligations""]"
阴谋诡计,"devious and cunning schemes, malicious plots",JSON,"['devious and cunning schemes, malicious plots']"
阴魂不散,lingering or refusing to disperse (usually in the sense of a bad influence),JSON,"['lingering or refusing to disperse ,usually in the sense of a bad influence']"
阴错阳差,an unexpected twist of fate,JSON,['an unexpected twist of fate']
阴阳怪气,being sarcastic or having a sarcastic tone,JSON,['being sarcastic or having a sarcastic tone']
陈规陋习,outdated and backward customs or habits,JSON,['outdated and backward customs or habits']
陈陈相因,things are closely linked and interdependent,JSON,['things are closely linked and interdependent']
陈词滥调,using stale clichés and trite remarks; making repetitive and unoriginal arguments,JSON,"['using stale clichés and trite remarks', 'making repetitive and unoriginal arguments']"
陷身囹圄,to be trapped or imprisoned,JSON,['to be trapped or imprisoned']
阳奉阴违,"act obediently in public, but do the opposite in private",JSON,"['act obediently in public, but do the opposite in private']"
阳春白雪,"a plain and simple style of writing or speech, without any embellishments or artistic flourishes",JSON,"['a plain and simple style of writing or speech, without any embellishments or artistic flourishes']"
隔墙有耳,the walls have ears,JSON,['the walls have ears']
隔靴搔痒,"tickling the foot from inside the shoe; addressing a problem or situation in a superficial or ineffective way, without directly resolving it",JSON,"['tickling the foot from inside the shoe', 'addressing a problem or situation in a superficial or ineffective way, without directly resolving it']"
隔岸观火,"watch a fire from the other side of the river, not willing to help or intervene",JSON,"['watch a fire from the other side of the river, not willing to help or intervene']"
随波逐流,"go with the flow, follow the crowd",JSON,"['go with the flow, follow the crowd']"
随风转舵,to change one's stance or position according to the circumstances,JSON,"[""to change one's stance or position according to the circumstances""]"
随机应变,"adapt to changing circumstances, respond flexibly",JSON,"['adapt to changing circumstances, respond flexibly']"
随心所欲,"""do as one pleases"" or ""freely do whatever one wants""",JSON,"['do as one pleases', 'freely do whatever one wants']"
随声附和,mindlessly agreeing with what others say without having one's own opinions,JSON,"[""mindlessly agreeing with what others say without having one's own opinions""]"
随遇而安,being content with whatever circumstances one encounters,JSON,['being content with whatever circumstances one encounters']
隐晦曲折,indirect and complicated,JSON,['indirect and complicated']
隐姓埋名,assuming an alias or hiding one's true identity,JSON,"[""assuming an alias or hiding one's true identity""]"
隐恶扬善,acknowledging and publicizing good deeds while concealing evil deeds,JSON,['acknowledging and publicizing good deeds while concealing evil deeds']
隐约其辞,vague in expressing oneself; speaking in veiled terms,JSON,"['vague in expressing oneself', 'speaking in veiled terms']"
雄心壮志,ambitious and determined; having great aspirations and goals,JSON,"['ambitious and determined', 'having great aspirations and goals']"
雄才大略,great talent and broad vision,JSON,['great talent and broad vision']
雅俗共赏,appreciating both refined and popular tastes together,JSON,['appreciating both refined and popular tastes together']
集思广益,"gathering wisdom from many sources, seeking input and suggestions from different perspectives",JSON,"['gathering wisdom from many sources, seeking input and suggestions from different perspectives']"
集腋成裘,gathering small contributions to achieve a greater goal,JSON,['gathering small contributions to achieve a greater goal']
雕虫小技,petty tricks or skills,JSON,['petty tricks or skills']
双管齐下,to use two methods or strategies simultaneously for a better result,JSON,['to use two methods or strategies simultaneously for a better result']
杂乱无章,a mess with no order or organization,JSON,['a mess with no order or organization']
离题万里,going off-topic or deviating from the main subject by a great extent,JSON,['going off-topic or deviating from the main subject by a great extent']
离经叛道,deviating from established norms or principles,JSON,['deviating from established norms or principles']
离群索居,living alone and away from society,JSON,['living alone and away from society']
离心离德,betraying loyalty and morality; being disloyal and ungrateful,JSON,"['betraying loyalty and morality', 'being disloyal and ungrateful']"
离乡背井,leaving one's hometown and venturing far away,JSON,"[""leaving one's hometown and venturing far away""]"
难能可贵,rare and valuable,JSON,['rare and valuable']
难乎为继,difficult to continue or carry on,JSON,['difficult to continue or carry on']
难解难分,difficult to solve and difficult to separate,JSON,['difficult to solve and difficult to separate']
难兄难弟,"two people who have a close relationship and are always inseparable, like brothers facing difficulties together",JSON,"['two people who have a close relationship and are always inseparable, like brothers facing difficulties together']"
难舍难分,difficult to part ways or separate from each other,JSON,['difficult to part ways or separate from each other']
难言之隐,a difficult-to-express secret; an embarrassing or sensitive topic that is hard to talk about,JSON,"['a difficult-to-express secret', 'an embarrassing or sensitive topic that is hard to talk about']"
雨过天晴,the sun comes out after the rain,JSON,['the sun comes out after the rain']
雨后春笋,"springing up like bamboo shoots after a rain, something that grows rapidly or appears in large numbers",JSON,"['springing up like bamboo shoots after a rain, something that grows rapidly or appears in large numbers']"
雪中送炭,to give timely help or support to someone in need,JSON,['to give timely help or support to someone in need']
雪上加霜,"to add insult to injury, making a bad situation even worse",JSON,"['to add insult to injury, making a bad situation even worse']"
零敲碎打,"to deal with something slowly, piece by piece, without making a decisive or effective move",JSON,"['to deal with something slowly, piece by piece, without making a decisive or effective move']"
雷霆万钧,thunderous force; refers to a powerful and unstoppable force or a drastic measure taken to deal with a situation,JSON,"['thunderous force', 'refers to a powerful and unstoppable force or a drastic measure taken to deal with a situation']"
雷厉风行,being swift and resolute in one's actions,JSON,"[""being swift and resolute in one's actions""]"
雷声大，雨点小,making a lot of noise but delivering little; much ado about nothing,JSON,"['making a lot of noise but delivering little', 'much ado about nothing']"
震古铄今,shocking the ancient and dazzling the present,JSON,['shocking the ancient and dazzling the present']
震撼人心,to profoundly shock or move people,JSON,['to profoundly shock or move people']
震耳欲聋,"extremely loud, almost deafening",JSON,"['extremely loud, almost deafening']"
露出马脚,reveal one's true intentions or reveal a mistake,JSON,"[""reveal one's true intentions or reveal a mistake""]"
灵丹圣药,a miraculous or magical remedy that can cure all diseases or solve all problems,JSON,['a miraculous or magical remedy that can cure all diseases or solve all problems']
青面獠牙,green-faced and fang-toothed; describes a fierce and intimidating appearance,JSON,"['green-faced and fang-toothed', 'describes a fierce and intimidating appearance']"
青黄不接,"there is a shortage of supply or a decline in business, resulting in a lack of opportunities or jobs",JSON,"['there is a shortage of supply or a decline in business, resulting in a lack of opportunities or jobs']"
青出于蓝，而胜于蓝,The student surpasses the master; the disciple is better than the teacher,JSON,"['the student surpasses the master', 'the disciple is better than the teacher']"
青云直上,"rising rapidly and steadily in one's career, achieving great success",JSON,"[""rising rapidly and steadily in one's career, achieving great success""]"
非同小可,not to be taken lightly; of great significance or importance,JSON,"['not to be taken lightly', 'of great significance or importance']"
非驴非马,neither a donkey nor a horse; an odd or strange person or thing,JSON,"['neither a donkey nor a horse', 'an odd or strange person or thing']"
非亲非故,Neither relatives nor acquaintances,JSON,['neither relatives nor acquaintances']
靠山吃山，靠水吃水,rely on local resources or advantages for sustenance,JSON,['rely on local resources or advantages for sustenance']
靡靡之音,soft and weak music; effeminate music,JSON,"['soft and weak music', 'effeminate music']"
面不改色,"remain calm and unchanged, not showing any emotion or reaction",JSON,"['remain calm and unchanged, not showing any emotion or reaction']"
面面俱到,covering all aspects comprehensively and thoroughly,JSON,['covering all aspects comprehensively and thoroughly']
面面相觑,to look at each other in astonishment or confusion,JSON,['to look at each other in astonishment or confusion']
面目可憎，语言无味,an unpleasant appearance and insipid speech,JSON,['an unpleasant appearance and insipid speech']
面目全非,completely different from its original appearance,JSON,['completely different from its original appearance']
面目一新,undergo a transformation; take on a completely new appearance,JSON,"['undergo a transformation', 'take on a completely new appearance']"
面黄肌瘦,"pale and thin in appearance, usually due to illness or malnutrition",JSON,"['pale and thin in appearance, usually due to illness or malnutrition']"
面红耳赤,blush with embarrassment or shame,JSON,['blush with embarrassment or shame']
面授机宜,"to give oral instructions, personalized guidance or suggestions based on specific circumstances",JSON,"['to give oral instructions, personalized guidance or suggestions based on specific circumstances']"
面如土色,having a pale and frightened expression,JSON,['having a pale and frightened expression']
面无人色,"to have a pale face, usually due to fear or shock",JSON,"['to have a pale face, usually due to fear or shock']"
革故鼎新,to reform and make radical changes; to discard the old ways and bring in the new,JSON,"['to reform and make radical changes', 'to discard the old ways and bring in the new']"
鞠躬尽瘁，死而后已,"To dedicate oneself wholeheartedly and exhaust every effort, even if it means sacrificing one's life",JSON,"[""to dedicate oneself wholeheartedly and exhaust every effort, even if it means sacrificing one's life""]"
鞭辟入里,"cut straight to the heart of the matter, get straight to the point",JSON,"['cut straight to the heart of the matter, get straight to the point']"
鞭长莫及,"out of reach, unable to do anything about it",JSON,"['out of reach, unable to do anything about it']"
韬光养晦,hiding one's abilities and biding one's time,JSON,"[""hiding one's abilities and biding one's time""]"
响彻云霄,resound throughout the sky,JSON,['resound throughout the sky']
响遏行云,to have a powerful or influential voice that can control or affect any situation,JSON,['to have a powerful or influential voice that can control or affect any situation']
顶天立地,standing tall and unyielding; upright and righteous,JSON,"['standing tall and unyielding', 'upright and righteous']"
顶礼膜拜,"to idolize and worship someone, showing the highest level of respect and admiration",JSON,"['to idolize and worship someone, showing the highest level of respect and admiration']"
项背相望,"""looking at each other's backs"" (referring to a situation where two people or parties are in conflict or opposition)",JSON,"[""looking at each other's backs""]"
项庄舞剑，意在沛公,having a hidden motive or intention behind one's actions,JSON,"[""having a hidden motive or intention behind one's actions""]"
顺藤摸瓜,to follow the vine and touch the melon,JSON,['to follow the vine and touch the melon']
顺理成章,proceeding in a logical and natural order,JSON,['proceeding in a logical and natural order']
顺手牵羊,to take advantage of a situation or opportunity,JSON,['to take advantage of a situation or opportunity']
顺水推舟,to take advantage of the current situation and make things easier; to go with the flow and make the most of the opportunities presented,JSON,"['to take advantage of the current situation and make things easier', 'to go with the flow and make the most of the opportunities presented']"
顺水人情,benefitting from favorable circumstances or the help of others without much effort,JSON,['benefitting from favorable circumstances or the help of others without much effort']
顺之者昌，逆之者亡,"Those who go along with the flow will prosper, while those who go against it will perish.",JSON,"['those who go along with the flow will prosper, while those who go against it will perish.']"
颂古非今,praising the past and criticizing the present; favoring and admiring the old ways over the new ones,JSON,"['praising the past and criticizing the present', 'favoring and admiring the old ways over the new ones']"
顽石点头,Even stubborn or difficult situations can be resolved with the right approach and effort,JSON,['even stubborn or difficult situations can be resolved with the right approach and effort']
顿开茅塞,to suddenly understand or have a breakthrough in one's thinking (like a blocked passage being cleared),JSON,"[""to suddenly understand or have a breakthrough in one's thinking ,like a blocked passage being cleared""]"
颐指气使,"Dictating with a commanding air, expecting others to obey",JSON,"['dictating with a commanding air, expecting others to obey']"
头破血流,head broken and blood flowing; suffering severe injuries,JSON,"['head broken and blood flowing', 'suffering severe injuries']"
头面人物,prominent figure; important person,JSON,"['prominent figure', 'important person']"
头头是道,organized and methodical; speaking in a logical and coherent manner,JSON,"['organized and methodical', 'speaking in a logical and coherent manner']"
头痛医头，脚痛医脚,"treating the headache by treating the head, and treating the foot pain by treating the foot",JSON,"['treating the headache by treating the head, and treating the foot pain by treating the foot']"
头角峥嵘,"Prominent and outstanding, with remarkable achievements",JSON,"['prominent and outstanding, with remarkable achievements']"
头重脚轻,Having a heavy head and light feet,JSON,['having a heavy head and light feet']
颠沛流离,experience a series of hardships and setbacks,JSON,['experience a series of hardships and setbacks']
颠扑不破,unassailable and irrefutable; unable to be disproven or refuted,JSON,"['unassailable and irrefutable', 'unable to be disproven or refuted']"
颠倒黑白,"to confuse right and wrong, to distort the truth",JSON,"['to confuse right and wrong, to distort the truth']"
颠倒是非,to deliberately confuse right and wrong; to distort the truth,JSON,"['to deliberately confuse right and wrong', 'to distort the truth']"
颠三倒四,disorderly; in a chaotic and confused state,JSON,"['disorderly', 'in a chaotic and confused state']"
顾盼自雄,overly confident and self-assured; self-important,JSON,"['overly confident and self-assured', 'self-important']"
顾名思义,"as the name implies, as the name suggests",JSON,"['as the name implies, as the name suggests']"
顾虑重重,to have numerous concerns or worries,JSON,['to have numerous concerns or worries']
顾前不顾后,only caring for the present and not considering the future,JSON,['only caring for the present and not considering the future']
顾全大局,to consider the overall situation or the big picture,JSON,['to consider the overall situation or the big picture']
顾此失彼,to focus on one thing and neglect another; to attend to this while losing sight of that,JSON,"['to focus on one thing and neglect another', 'to attend to this while losing sight of that']"
顾影自怜,to feel sorry for oneself and indulge in self-pity,JSON,['to feel sorry for oneself and indulge in self-pity']
显而易见,obvious and easy to see,JSON,['obvious and easy to see']
风平浪静,"a state of calm and tranquility, free from disturbances and conflicts",JSON,"['a state of calm and tranquility, free from disturbances and conflicts']"
风马牛不相及,Two completely unrelated things or ideas that have nothing in common,JSON,['two completely unrelated things or ideas that have nothing in common']
风靡一时,a trend that becomes popular for a period of time,JSON,['a trend that becomes popular for a period of time']
风调雨顺,favorable weather conditions; smooth and successful progress,JSON,"['favorable weather conditions', 'smooth and successful progress']"
风土人情,local customs and practices; the unique characteristics and traditions of a specific region or place,JSON,"['local customs and practices', 'the unique characteristics and traditions of a specific region or place']"
风流人物,"a charming and charismatic person, often associated with a romantic or player-like personality",JSON,"['a charming and charismatic person, often associated with a romantic or player-like personality']"
风流云散,dispersed like clouds and scattered like wind; refers to a group or people breaking up and going their separate ways,JSON,"['dispersed like clouds and scattered like wind', 'refers to a group or people breaking up and going their separate ways']"
风卷残云,"swift and decisive action, leaving no trace behind",JSON,"['swift and decisive action, leaving no trace behind']"
风起云涌,"a situation where a great force or energy is gathering or forming, usually indicating a significant or tumultuous change",JSON,"['a situation where a great force or energy is gathering or forming, usually indicating a significant or tumultuous change']"
风烛残年,"the remaining years of one's life are limited (like the wind and a candle, easily extinguished)",JSON,"[""the remaining years of one's life are limited ,like the wind and a candle, easily extinguished""]"
风驰电掣,"to move or travel with great speed, like the wind or lightning",JSON,"['to move or travel with great speed, like the wind or lightning']"
风尘仆仆,dirty and exhausted from a long journey,JSON,['dirty and exhausted from a long journey']
风吹草动,"any slight change or movement, usually implying a sense of alertness or sensitivity",JSON,"['any slight change or movement, usually implying a sense of alertness or sensitivity']"
风声鹤唳,to be startled and panic-stricken,JSON,['to be startled and panic-stricken']
风餐露宿,have to endure hardship or stay outdoors without shelter,JSON,['have to endure hardship or stay outdoors without shelter']
风言风语,rumors or gossip circulating among people,JSON,['rumors or gossip circulating among people']
风雨飘摇,"unstable or uncertain, going through hardships",JSON,"['unstable or uncertain, going through hardships']"
风雨同舟,to weather the storm together,JSON,['to weather the storm together']
风雨交加,"a situation where one is faced with both strong winds and heavy rain, implying a difficult and challenging circumstance",JSON,"['a situation where one is faced with both strong winds and heavy rain, implying a difficult and challenging circumstance']"
风雨无阻,unaffected by difficulties or obstacles,JSON,['unaffected by difficulties or obstacles']
风云变幻,unpredictable changes; the winds and clouds are ever-changing,JSON,"['unpredictable changes', 'the winds and clouds are ever-changing']"
风云突变,unexpected and sudden changes in a situation,JSON,['unexpected and sudden changes in a situation']
风云人物,a prominent and influential figure in society,JSON,['a prominent and influential figure in society']
飞黄腾达,to achieve rapid success and rise to a high position,JSON,['to achieve rapid success and rise to a high position']
飞针走线,sewing with fast and skillful movements; also refers to working quickly and efficiently,JSON,"['sewing with fast and skillful movements', 'also refers to working quickly and efficiently']"
飞沙走石,violent gusts of wind and a storm of flying sand and pebbles,JSON,['violent gusts of wind and a storm of flying sand and pebbles']
飞蛾投火,to be self-destructive; to willingly go towards danger or harm,JSON,"['to be self-destructive', 'to willingly go towards danger or harm']"
飞扬跋扈,arrogant and domineering,JSON,['arrogant and domineering']
食古不化,stubbornly clinging to old ways and refusing to change or adapt,JSON,['stubbornly clinging to old ways and refusing to change or adapt']
食肉寝皮,to live off someone else's labor,JSON,"[""to live off someone else's labor""]"
食而不化,"""eating without digestion"", used to describe someone who is unable to absorb or understand new knowledge or information",JSON,['eating without digestion']
食言而肥,breaking one's promise and benefiting oneself,JSON,"[""breaking one's promise and benefiting oneself""]"
饥不择食,"being so hungry that one is willing to eat anything, figuratively refers to being desperate and willing to accept anything",JSON,"['being so hungry that one is willing to eat anything, figuratively refers to being desperate and willing to accept anything']"
饥寒交迫,"to be in extreme poverty and hardship, facing both hunger and cold",JSON,"['to be in extreme poverty and hardship, facing both hunger and cold']"
饥肠辘辘,having a rumbling stomach due to extreme hunger,JSON,['having a rumbling stomach due to extreme hunger']
饮恨而终,to die in despair or regret,JSON,['to die in despair or regret']
饮泣吞声,swallow one's tears and keep silent,JSON,"[""swallow one's tears and keep silent""]"
饮鸩止渴,attempting to solve one problem by creating an even bigger problem,JSON,['attempting to solve one problem by creating an even bigger problem']
饮水思源,"""Remember the source of water while drinking"" or ""Remember one's roots and show gratitude""",JSON,"['remember the source of water while drinking', ""remember one's roots and show gratitude""]"
饭来张口，衣来伸手,Eating with an open mouth and receiving clothes with open hands,JSON,['eating with an open mouth and receiving clothes with open hands']
饱汉不知饿汉饥,The well-fed do not understand the plight of the hungry; someone who has never experienced hardship cannot truly empathize with those in need,JSON,"['the well-fed do not understand the plight of the hungry', 'someone who has never experienced hardship cannot truly empathize with those in need']"
饱经风霜,having experienced many hardships and difficulties,JSON,['having experienced many hardships and difficulties']
饱食终日，无所用心,Being idle and having no ambition or purpose in life despite being well-fed,JSON,['being idle and having no ambition or purpose in life despite being well-fed']
饱以老拳,to have a great mastery or knowledge in a certain field,JSON,['to have a great mastery or knowledge in a certain field']
养虎遗患,raising a tiger and inviting disaster,JSON,['raising a tiger and inviting disaster']
养精蓄锐,to preserve one's energy and sharpen one's skills,JSON,"[""to preserve one's energy and sharpen one's skills""]"
养尊处优,to enjoy a life of luxury and privilege,JSON,['to enjoy a life of luxury and privilege']
养痈遗患,to nurture troubles and allow problems to remain unresolved,JSON,['to nurture troubles and allow problems to remain unresolved']
余音绕梁,the lingering sound of beautiful music,JSON,['the lingering sound of beautiful music']
余勇可贾,to have courage that exceeds one's abilities,JSON,"[""to have courage that exceeds one's abilities""]"
饶有风趣,be witty and humorous,JSON,['be witty and humorous']
馋涎欲滴,"to drool with greed, to be extremely tempted by something",JSON,"['to drool with greed, to be extremely tempted by something']"
首当其冲,bear the brunt; be the first to face a difficult situation,JSON,"['bear the brunt', 'be the first to face a difficult situation']"
首屈一指,ranked first and unequaled,JSON,['ranked first and unequaled']
首鼠两端,being indecisive and unable to choose between two options,JSON,['being indecisive and unable to choose between two options']
首尾相应,the beginning and the end correspond to each other; the whole process of the matter runs smoothly,JSON,"['the beginning and the end correspond to each other', 'the whole process of the matter runs smoothly']"
马不停蹄,"non-stop or continuously, without any pause or rest",JSON,"['non-stop or continuously, without any pause or rest']"
马马虎虎,"doing something in a careless and sloppy manner, without paying enough attention to details",JSON,"['doing something in a careless and sloppy manner, without paying enough attention to details']"
马到成功,achieve immediate success,JSON,['achieve immediate success']
马革裹尸,to die in battle and have one's body wrapped in horsehide,JSON,"[""to die in battle and have one's body wrapped in horsehide""]"
驾轻就熟,becoming accustomed to something quickly and easily; getting the hang of something easily,JSON,"['becoming accustomed to something quickly and easily', 'getting the hang of something easily']"
骇人听闻,shocking and unbelievable,JSON,['shocking and unbelievable']
骑马找马,Looking for something that is already in your possession; searching for what you already have,JSON,"['looking for something that is already in your possession', 'searching for what you already have']"
骑虎难下,being in a difficult situation and finding it hard to get out,JSON,['being in a difficult situation and finding it hard to get out']
腾蛟起凤,achieving great success and soaring to new heights,JSON,['achieving great success and soaring to new heights']
骄兵必败,Arrogant soldiers will surely be defeated,JSON,['arrogant soldiers will surely be defeated']
骄奢淫逸,"excessive luxury and indulgence, leading to arrogance and debauchery",JSON,"['excessive luxury and indulgence, leading to arrogance and debauchery']"
惊涛骇浪,"being in a turbulent and chaotic situation, facing overwhelming difficulties and challenges",JSON,"['being in a turbulent and chaotic situation, facing overwhelming difficulties and challenges']"
惊天动地,"earth-shattering, extremely shocking",JSON,"['earth-shattering, extremely shocking']"
惊弓之鸟,a person who is easily startled or frightened,JSON,['a person who is easily startled or frightened']
惊恐万状,in a state of extreme fear and panic,JSON,['in a state of extreme fear and panic']
惊魂未定,still in a state of shock and fear,JSON,['still in a state of shock and fear']
惊慌失措,being in a state of panic and confusion,JSON,['being in a state of panic and confusion']
惊心动魄,heart-stopping and thrilling,JSON,['heart-stopping and thrilling']
驴头不对马嘴,speaking without logic or incoherent,JSON,['speaking without logic or incoherent']
骨鲠在喉,having a bone stuck in one's throat,JSON,"[""having a bone stuck in one's throat""]"
骨瘦如柴,extremely thin; emaciated,JSON,"['extremely thin', 'emaciated']"
骨肉相连,blood is thicker than water,JSON,['blood is thicker than water']
体大思精,"focusing on substance over appearance, emphasizing the importance of deep thinking and understanding rather than superficial knowledge",JSON,"['focusing on substance over appearance, emphasizing the importance of deep thinking and understanding rather than superficial knowledge']"
体贴入微,being attentive to every detail; showing great thoughtfulness and care,JSON,"['being attentive to every detail', 'showing great thoughtfulness and care']"
体无完肤,being severely wounded all over one's body; suffering from a lot of injuries or harm,JSON,"[""being severely wounded all over one's body"", 'suffering from a lot of injuries or harm']"
高不可攀,unreachable; beyond one's reach; too high to be reached or achieved,JSON,"['unreachable', ""beyond one's reach"", 'too high to be reached or achieved']"
高不成，低不就,neither reaching a higher level nor accepting a lower one,JSON,['neither reaching a higher level nor accepting a lower one']
高谈阔论,engaging in lofty or grandiose discussions or discourse,JSON,['engaging in lofty or grandiose discussions or discourse']
高歌猛进,make rapid progress and forge ahead with great enthusiasm,JSON,['make rapid progress and forge ahead with great enthusiasm']
高高在上,to be aloof or arrogant; to look down upon others,JSON,"['to be aloof or arrogant', 'to look down upon others']"
高瞻远瞩,having lofty ideals and far-sightedness,JSON,['having lofty ideals and far-sightedness']
高枕无忧,sleeping soundly with no worries or concerns,JSON,['sleeping soundly with no worries or concerns']
高视阔步,Carrying oneself with confidence and arrogance,JSON,['carrying oneself with confidence and arrogance']
高屋建瓴,giving authoritative opinions or advice based on one's expertise or experience,JSON,"[""giving authoritative opinions or advice based on one's expertise or experience""]"
郁郁寡欢,feeling depressed and unhappy,JSON,['feeling depressed and unhappy']
鬼鬼祟祟,acting in a secretive and suspicious manner,JSON,['acting in a secretive and suspicious manner']
鬼哭神号,causing extreme sadness or distress; a situation so heartbreaking that even ghosts and gods cry out in sorrow,JSON,"['causing extreme sadness or distress', 'a situation so heartbreaking that even ghosts and gods cry out in sorrow']"
鬼使神差,acting or behaving mysteriously or inexplicably,JSON,['acting or behaving mysteriously or inexplicably']
鬼蜮伎俩,tricks and schemes,JSON,['tricks and schemes']
魂不附体,"being in a state of shock or disbelief, as if one's soul has left their body",JSON,"[""being in a state of shock or disbelief, as if one's soul has left their body""]"
魂飞魄散,"suffer a great shock or fright, causing a feeling of complete disorientation or loss of control",JSON,"['suffer a great shock or fright, causing a feeling of complete disorientation or loss of control']"
魑魅魍魉,evil spirits and goblins,JSON,['evil spirits and goblins']
鱼米之乡,a place abundant in resources and fertile for cultivation,JSON,['a place abundant in resources and fertile for cultivation']
鱼目混珠,"to mix the good with the bad, to pass off shoddy goods as superior ones",JSON,"['to mix the good with the bad, to pass off shoddy goods as superior ones']"
鱼龙混杂,"a mix of good and bad, with both genuine and deceitful people present",JSON,"['a mix of good and bad, with both genuine and deceitful people present']"
鱼游釜中,like a fish swimming in a boiling pot,JSON,['like a fish swimming in a boiling pot']
鲁莽灭裂,Acting rashly and causing destruction or harm,JSON,['acting rashly and causing destruction or harm']
鳏寡孤独,"single, widowed, and lonely; referring to someone who is alone and has no family or close companionship",JSON,"['single, widowed, and lonely', 'referring to someone who is alone and has no family or close companionship']"
鳞次栉比,neatly arranged in rows; in an orderly and organized manner,JSON,"['neatly arranged in rows', 'in an orderly and organized manner']"
鸟尽弓藏,keeping one's abilities or resources hidden until the most opportune moment,JSON,"[""keeping one's abilities or resources hidden until the most opportune moment""]"
鸟语花香,"pleasant and peaceful atmosphere, filled with the sound of birds singing and the fragrance of flowers",JSON,"['pleasant and peaceful atmosphere, filled with the sound of birds singing and the fragrance of flowers']"
凤毛麟角,extremely rare or valuable; like a phoenix feather or a unicorn's horn,JSON,"['extremely rare or valuable', ""like a phoenix feather or a unicorn's horn""]"
鸣锣开道,"""clear the way"", ""pave the way"", or ""prepare the way""",JSON,"['clear the way', 'pave the way', 'prepare the way']"
鸣鼓而攻,Launching an attack with a flourish; making a strong and decisive move,JSON,"['launching an attack with a flourish', 'making a strong and decisive move']"
鸣冤叫屈,to protest strongly against injustice or unfair treatment,JSON,['to protest strongly against injustice or unfair treatment']
鸦雀无声,"absolutely silent, quiet as a mouse",JSON,"['absolutely silent, quiet as a mouse']"
鹏程万里,great prospects and a boundless future,JSON,['great prospects and a boundless future']
鹊巢鸠占,"to profit from another's work or effort, to take advantage of someone else's labor or possessions",JSON,"[""to profit from another's work or effort, to take advantage of someone else's labor or possessions""]"
鹑衣百结,a situation that is very complicated or tangled,JSON,['a situation that is very complicated or tangled']
鹤发童颜,have the appearance of a young person despite being old,JSON,['have the appearance of a young person despite being old']
鹤立鸡群,to stand out from the crowd; to be outstanding among others,JSON,"['to stand out from the crowd', 'to be outstanding among others']"
莺啼燕语,the singing of warblers and the chirping of swallows; also refers to a scene of natural beauty or a pleasant and harmonious atmosphere,JSON,"['the singing of warblers and the chirping of swallows', 'also refers to a scene of natural beauty or a pleasant and harmonious atmosphere']"
